,topic,v_lat,v_lon,Country,event_url,event_name,maxdist,mediandist,ID_event,date,venue_name,count_part
95,Tech,50.05227,14.441759,cz,https://www.meetup.com/functional-jvm-meetup/events/258786511/,"Jaroslav Tulach : OMG, Nashorn got deprecated! & Zbyn\u011bk \u0160lajchrt: GraalVM",7.0,7.0,258786511,Mon Apr  1 18:00:00 2019,Avast Software Headquarters,3
96,"Fitness,Outdoors,Community",45.827225,8.626925,cz,https://www.meetup.com/Friends-And-Adventures/events/258840170/,Summer Adventure - Val Grande - Italy,7.0,7.0,258840170,Fri Jun 28 20:00:00 2019,International Camping Ispra,3
97,Tech,49.230785,16.576841,cz,https://www.meetup.com/ysoft-th/events/258878047/,OpenAPI boosts your effectiveness during .NET Core application development,185.1747668469096,183.36439904802106,258878047,Tue Apr 16 18:00:00 2019,"Y Soft, R&D",7
98,"Business,Tech,Education",50.093624,14.456741,cz,https://www.meetup.com/BHubPrague/events/258896950/,Founders Club,7.0,7.0,258896950,Tue Apr  9 10:30:00 2019,Loft Cafe Karl\u00edn,5
99,"Business,Tech,Education",50.093624,14.456741,cz,https://www.meetup.com/BHubPrague/events/258896960/,Founders Club,7.0,7.0,258896960,Tue May  7 10:30:00 2019,Loft Cafe Karl\u00edn,3
100,"Business,Social,Singles,Food&Drink",50.0882,14.43124,cz,https://www.meetup.com/Prague-Forum/events/258936808/,Join AfterWork  Networking Party and meet great people !,7.0,7.0,258936808,Fri Apr 12 19:00:00 2019,The Bourbon Bar - Marriott Hotel,14
101,Languages,50.0882,14.43124,cz,https://www.meetup.com/Wir-sprechen-Deutsch-in-Prag/events/258938181/,Komm zu Wir sprechen Deutsch und treffe interessante Menschen und Kontakte,7.0,7.0,258938181,Fri Apr 12 19:00:00 2019,The Bourbon Bar - Marriott Hotel,5
102,"Social,Business,Music,Fashion,Food&Drink,Dancing",50.0882,14.43124,cz,https://www.meetup.com/Prague-Event-Group/events/258938708/,AfterWork Networking @ The Bourbon Bar,664.8010851272585,445.53405675150566,258938708,Fri Apr 12 19:00:00 2019,The Bourbon Bar - Marriott Hotel,2
103,"Sports,Social,Outdoors,Fitness,Food&Drink",50.069828,14.39613,cz,https://www.meetup.com/tTPfc2015/events/259042531/,11-a-side / League: Taverners v Partisan B ,7.0,7.0,259042531,Sat Apr  6 13:30:00 2019,And\u011bl Arena,12
104,"Tech,Education",50.107407,14.454659,cz,https://www.meetup.com/Morning-Talks/events/259324704/,Microservices - v\u00fdvoj v distribuovan\u00e9m syst\u00e9mu,7.0,7.0,259324704,Wed Apr  3 09:00:00 2019,Jankovcova,2
105,"Tech,Education",50.107407,14.454659,cz,https://www.meetup.com/Morning-Talks/events/259324723/,Zabbix - open source monitoring,170.09843463222722,57.151144681267866,259324723,Wed Apr 10 09:00:00 2019,Jankovcova,3
106,"Tech,Education",50.107407,14.454659,cz,https://www.meetup.com/Morning-Talks/events/259324749/,Provoz modern\u00ed infrastruktury pomoc\u00ed Dockeru,7.0,7.0,259324749,Thu Apr 11 09:00:00 2019,Jankovcova,8
